Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-03,Murder,Solved,Ealing,Asian
1,0 to 12,Female,Not known/Not Recorded,Not Domestic,Aug-03,Murder,Solved,Ealing,Asian
1,25 to 34,Male,Blunt Implement,Not Domestic,Jun-03,Murder, Unsolved ,Islington,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Sep-03,Murder,Solved,Islington,White
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Oct-03,Murder,Solved,Islington,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Jan-03,Murder,Solved,Haringey,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Feb-03,Murder,Solved,Haringey,Black
1,35 to 44,Male,Shooting,Not Domestic,Feb-03,Murder,Solved,Haringey,Black
1,20 to 24,Male,Other Methods of Killing,Not Domestic,Feb-03,Murder,Solved,Haringey,White
1,35 to 44,Male,Shooting,Not Domestic,Mar-03,Murder,Solved,Haringey,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Mar-03,Murder,Solved,Haringey,Black
1,25 to 34,Female,Shooting,Not Domestic,Mar-03,Murder,Solved,Haringey,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-03,Murder,Solved,Haringey,White
1,35 to 44,Female,Other Methods of Killing,Not Domestic,May-03,Manslaughter,Solved,Haringey,White
1,65 and over,Male,Blunt Implement,Not Domestic,Jun-03,Murder, Unsolved ,Hackney,White
1,25 to 34,Male,Blunt Implement,Domestic,Jun-03,Murder,Solved,Haringey,Black
1,0 to 12,Female,Not known/Not Recorded,Not Domestic,Jul-03,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Haringey,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Nov-03,Murder,Solved,Haringey,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Nov-03,Murder,Solved,Haringey,White
1,65 and over,Female,Other Methods of Killing,Not Domestic,Mar-03,Murder,Solved,Southwark,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Mar-03,Murder,Solved,Southwark,Black
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Mar-03,Murder,Solved,Southwark,Black
1,65 and over,Male,Blunt Implement,Domestic,Apr-03,Murder,Solved,Ealing,White
1,55 to 64,Male,Shooting,Not Domestic,May-03,Murder,Solved,Southwark,White
1,25 to 34,Male,Shooting,Not Domestic,May-03,Murder, Unsolved ,Southwark,Black
1,45 to 54,Female,"Pysical Assualt, no weapon",Domestic,May-03,Murder,Solved,Southwark,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jul-03,Murder,Solved,Southwark,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Jul-03,Murder,Solved,Southwark,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Sep-03,Murder,Solved,Southwark,Black
1,35 to 44,Male,"Pysical Assualt, no weapon",Not Domestic,Sep-03,Murder,Solved,Southwark,White
1,55 to 64,Male,Shooting,Not Domestic,Oct-03,Murder, Unsolved ,Southwark,White
1,25 to 34,Male,Blunt Implement,Not Domestic,May-03,Murder,Solved,Lewisham,White
1,35 to 44,Male,Shooting,Not Domestic,Jun-03,Murder,Solved,Lewisham,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Sep-03,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Sep-03,Murder,Solved,Lewisham,Black
1,65 and over,Female,Blunt Implement,Domestic,Sep-03,Murder,Solved,Lewisham,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Nov-03,Murder,Solved,Lewisham,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Apr-03,Murder,Solved,Bromley,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Mar-03,Murder,Solved,Greenwich,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Mar-03,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Domestic,May-03,Murder,Solved,Greenwich,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,May-03,Murder,Solved,Greenwich,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Jun-03,Murder,Solved,Greenwich,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic,Jul-03,Murder,Solved,Greenwich,White
1,20 to 24,Female,Knife or Sharp Implement,Domestic,Sep-03,Murder,Solved,Greenwich,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Greenwich,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Nov-03,Murder,Solved,Greenwich,White
1,35 to 44,Female,Knife or Sharp Implement,Not Domestic,Dec-03,Murder,Solved,Greenwich,White
1,65 and over,Female,Other Methods of Killing,Not Domestic,Dec-03,Manslaughter,Solved,Greenwich,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Dec-03,Murder,Solved,Greenwich,White
1,35 to 44,Female,"Pysical Assualt, no weapon",Not Domestic,Jan-03,Murder,Solved,Croydon,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Apr-03,Murder,Solved,Croydon,White
1,20 to 24,Female,Other Methods of Killing,Not Domestic,May-03,Murder,Solved,Croydon,White
1,13 to 19,Female,Other Methods of Killing,Not Domestic,Jun-03,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jul-03,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Croydon,White
1,35 to 44,Female,Blunt Implement,Not Domestic,Aug-03,Murder,Solved,Croydon,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Croydon,Asian
1,13 to 19,Male,Other Methods of Killing,Not Domestic,Dec-03,Murder,Solved,Croydon,White
1,25 to 34,Female,Shooting,Not Domestic,Mar-03,Murder,Solved,Bexley,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Dec-03,Murder,Solved,Sutton,White
1,20 to 24,Female,"Pysical Assualt, no weapon",Domestic,Jan-03,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,Knife or Sharp Implement,Not Domestic,Feb-03,Murder, Unsolved ,Tower Hamlets,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-03,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Apr-03,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Male,Knife or Sharp Implement,Domestic,May-03,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,May-03,Murder,Solved,Tower Hamlets,White
1,65 and over,Female,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Tower Hamlets,Asian
1,65 and over,Female,"Pysical Assualt, no weapon",Not Domestic,Jul-03,Murder,Solved,Tower Hamlets,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Aug-03,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Tower Hamlets,Asian
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Dec-03,Murder,Solved,Tower Hamlets,Asian
1,20 to 24,Male,Shooting,Not Domestic,Mar-03,Murder, Unsolved ,Redbridge,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jun-03,Murder,Solved,Redbridge,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jun-03,Murder,Solved,Ealing,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jul-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Jul-03,Murder,Solved,Redbridge,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Aug-03,Murder,Solved,Redbridge,White
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Oct-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Not known/Not Recorded,Not Domestic,May-03,Murder,Solved,Hackney,Black
1,25 to 34,Female,Other Methods of Killing,Not Domestic,Jun-03,Murder,Solved,Hackney,Black
1,13 to 19,Male,Shooting,Not Domestic,Jun-03,Murder,Solved,Hackney,Black
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,Jun-03,Murder, Unsolved ,Hackney,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Hackney,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Ealing,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Hackney,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Aug-03,Murder,Solved,Hackney,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-03,Murder,Solved,Hackney,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Oct-03,Murder,Solved,Hackney,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic,Oct-03,Murder,Solved,Hackney,White
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Oct-03,Murder,Solved,Hackney,Black
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Hackney,White
1,65 and over,Female,Knife or Sharp Implement,Domestic,Oct-03,Murder,Solved,Hackney,Black
1,20 to 24,Male,Shooting,Not Domestic,Nov-03,Murder,Solved,Hackney,White
1,0 to 12,Female,Other Methods of Killing,Not Domestic,Dec-03,Murder, Unsolved ,Hackney,Black
1,55 to 64,Male,Blunt Implement,Not Domestic,Dec-03,Murder,Solved,Hackney,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jan-03,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Shooting,Not Domestic,Mar-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Mar-03,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Jun-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Female,"Pysical Assualt, no weapon",Domestic,Jun-03,Murder,Solved,Waltham Forest,White
1,13 to 19,Male,Shooting,Not Domestic,Jul-03,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Aug-03,Murder,Solved,Waltham Forest,White
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,Oct-03,Murder,Solved,Waltham Forest,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Dec-03,Murder, Unsolved ,Waltham Forest,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Feb-03,Murder,Solved,Barking & Dagenham,White
1,65 and over,Female,Knife or Sharp Implement,Not Domestic,Feb-03,Murder,Solved,Barking & Dagenham,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Apr-03,Murder,Solved,Barking & Dagenham,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Jul-03,Murder,Solved,Barking & Dagenham,Black
1,45 to 54,Male,Blunt Implement,Not Domestic,Jul-03,Murder,Solved,Barking & Dagenham,Asian
1,65 and over,Male,Other Methods of Killing,Not Domestic,Dec-03,Manslaughter,Solved,Barking & Dagenham,Black
1,20 to 24,Female,Blunt Implement,Not Domestic,Mar-03,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jun-03,Murder,Solved,Enfield,White
1,20 to 24,Male,Blunt Implement,Not Domestic,Jun-03,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Oct-03,Murder,Solved,Enfield,Black
1,55 to 64,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Enfield,White
1,55 to 64,Male,Blunt Implement,Domestic,Nov-03,Murder,Solved,Enfield,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Dec-03,Murder,Solved,Enfield,White
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Jan-03,Murder, Unsolved ,Newham,Asian
1,20 to 24,Female,"Pysical Assualt, no weapon",Not Domestic,Feb-03,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Apr-03,Murder,Solved,Newham,Asian
1,20 to 24,Female,"Pysical Assualt, no weapon",Not Domestic,Jul-03,Murder,Solved,Newham,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Jul-03,Murder,Solved,Newham,White
1,25 to 34,Female,Knife or Sharp Implement,Domestic,Jul-03,Murder,Solved,Newham,Asian
1,45 to 54,Male,Shooting,Not Domestic,Aug-03,Murder,Solved,Newham,Asian
1,35 to 44,Male,Shooting,Not Domestic,Aug-03,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Sep-03,Murder,Solved,Newham,Asian
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Oct-03,Murder,Solved,Newham,White
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Jul-03,Murder,Solved,Newham,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic,May-03,Murder,Solved,Havering,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Aug-03,Murder,Solved,Havering,White
1,20 to 24,Male,Other Methods of Killing,Not Domestic,Nov-03,Murder,Solved,Havering,White
1,20 to 24,Male,"Pysical Assualt, no weapon",Not Domestic,Nov-03,Murder,Solved,Havering,White
1,65 and over,Female,Blunt Implement,Not Domestic,Jan-03,Murder,Solved,Westminster,White
1,20 to 24,Female,"Pysical Assualt, no weapon",Not Domestic,Mar-03,Murder,Solved,Westminster,White
1,35 to 44,Male,Knife or Sharp Implement,Domestic,Apr-03,Murder,Solved,Westminster,White
1,25 to 34,Female,Other Methods of Killing,Not Domestic,Jan-03,Murder,Solved,Hammersmith & Fulham,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Feb-03,Murder, Unsolved ,Hammersmith & Fulham,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Aug-03,Murder,Solved,Hammersmith & Fulham,Black
1,35 to 44,Male,Shooting,Not Domestic,Nov-03,Murder, Unsolved ,Hammersmith & Fulham,Other
1,20 to 24,Female,"Pysical Assualt, no weapon",Not Domestic,Jan-03,Murder,Solved,Westminster,White
1,45 to 54,Female,Not known/Not Recorded,Domestic,Oct-03,Murder,Solved,Hammersmith & Fulham,White
1,35 to 44,Male,Shooting,Not Domestic,Jun-03,Murder, Unsolved ,Westminster,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Jul-03,Manslaughter,Solved,Westminster,White
1,55 to 64,Male,Other Methods of Killing,Not Domestic,Feb-03,Manslaughter,Solved,Westminster,White
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,Jan-03,Murder,Solved,Westminster,White
1,55 to 64,Male,Blunt Implement,Not Domestic,May-03,Murder, Unsolved ,Kensington & Chelsea,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic,Apr-04,Murder,Solved,Wandsworth,White
1,13 to 19,Male,Blunt Implement,Not Domestic,Apr-04,Murder,Solved,Wandsworth,Black
1,20 to 24,Male,Shooting,Not Domestic,Nov-04,Murder,Solved,Wandsworth,Black
1,35 to 44,Female,Not known/Not Recorded,Domestic,Jun-04,Murder,Solved,Kingston Upon Thames,Asian
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jun-04,Murder, Unsolved ,Kingston Upon Thames,Other
1,35 to 44,Female,Other Methods of Killing,Domestic,Apr-04,Murder,Solved,Hounslow,Asian
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,Aug-04,Murder,Solved,Hounslow,Asian
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Oct-04,Murder,Solved,Hounslow,White
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,Jan-04,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Female,"Pysical Assualt, no weapon",Domestic,Feb-04,Murder,Solved,Richmond Upon Thames,Asian
1,20 to 24,Female,Blunt Implement,Not Domestic,Aug-04,Murder,Solved,Richmond Upon Thames,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Sep-04,Murder,Solved,Richmond Upon Thames,White
1,55 to 64,Female,Other Methods of Killing,Not Domestic,Mar-04,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female,Knife or Sharp Implement,Not Domestic,Mar-04,Murder,Solved,Hillingdon,White
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Apr-04,Manslaughter, Unsolved ,Hillingdon,Asian
1,20 to 24,Male,Other Methods of Killing,Not Domestic,Aug-04,Murder,Solved,Hillingdon,White
1,45 to 54,Male,Knife or Sharp Implement,Not Domestic,Jan-04,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic,Jan-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Apr-04,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Knife or Sharp Implement,Not Domestic,May-04,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,Not Domestic,Jun-04,Murder,Solved,Lambeth,Black
1,25 to 34,Male,Shooting,Not Domestic,Jun-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Methods of Killing,Not Domestic,Oct-04,Murder,Solved,Lambeth,White
1,45 to 54,Male,Shooting,Not Domestic,Nov-04,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Dec-04,Murder,Solved,Lambeth,Black
1,25 to 34,Female,Other Methods of Killing,Domestic,Jan-04,Murder,Solved,Merton,White
1,35 to 44,Male,Not known/Not Recorded,Not Domestic,Mar-04,Murder,Solved,Brent,White
1,35 to 44,Male,Other Methods of Killing,Not Domestic,May-04,Murder,Solved,Brent,Asian
1,25 to 34,Male,Other Methods of Killing,Not Domestic,May-04,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,Not Domestic,May-04,Murder,Solved,Brent,Black
1,0 to 12,Male,Other Methods of Killing,Not Domestic,Jun-04,Murder,Solved,Brent,Black
1,20 to 24,Male,Knife or Sharp Implement,Not Domestic,Jul-04,Murder,Solved,Brent,Black
1,25 to 34,Male,Other Methods of Killing,Not Domestic,Aug-04,Manslaughter, Unsolved ,Brent,White
1,25 to 34,Male,Shooting,Not Domestic,Aug-04,Murder, Unsolved ,Ealing,Asian
1,25 to 34,Male,Shooting,Not Domestic,Aug-04,Murder,Solved,Brent,Black
1,35 to 44,Female,Knife or Sharp Implement,Domestic,Nov-04,Murder,Solved,Brent,Black
1,13 to 19,Female,Knife or Sharp Implement,Domestic,Nov-04,Murder,Solved,Brent,Black
1,0 to 12,Male,Knife or Sharp Implement,Domestic,Nov-04,Murder,Solved,Ealing,Black
1,35 to 44,Male,Shooting,Not Domestic,Nov-04,Murder, Unsolved ,Brent,Black
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,Nov-04,Murder,Solved,Brent,White
1,45 to 54,Male,Not known/Not Recorded,Not Domestic,Dec-04,Murder,Solved,Brent,White
1,35 to 44,Male,Knife or Sharp Implement,Not Domestic,May-04,Murder,Solved,Camden,White
1,65 and over,Male,Knife or Sharp Implement,Not Domestic,Sep-04,Murder,Solved,Camden,White
1,65 and over,Female,Knife or Sharp Implement,Not Domestic,Sep-04,Murder,Solved,Camden,White
1,65 and over,Male,Other Methods of Killing,Not Domestic,Dec-04,Murder,Solved,Camden,White
1,35 to 44,Female,Not known/Not Recorded,Domestic,Apr-04,Murder,Solved,Ealing,White
1,65 and over,Male,Other Methods of Killing,Not Domestic,Nov-04,Murder,Solved,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,Domestic,Mar-04,Murder,Solved,Ealing,White
1,13 to 19,Male,Shooting,Not Domestic,Mar-04,Murder, Unsolved ,Ealing,Black
1,65 and over,Male,Other Methods of Killing,Not Domestic,Apr-04,Murder,Solved,Ealing,Asian
1,35 to 44,Female,Not known/Not Recorded,Domestic,Apr-04,Murder,Solved,Haringey,Black
1,13 to 19,Male,Knife or Sharp Implement,Not Domestic,May-04,Murder,Solved,Ealing,Black
1,45 to 54,Male,Other Methods of Killing,Not Domestic,Jun-04,Murder,Solved,Ealing,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Oct-04,Murder,Solved,Ealing,Asian
1,45 to 54,Female,Other Methods of Killing,Not Domestic,Nov-04,Murder,Solved,Ealing,White
1,45 to 54,Female,Knife or Sharp Implement,Domestic,Nov-04,Murder,Solved,Ealing,White
